SHIPPER ACCOUNT NUMBER,SHIPPER ACCOUNT NAME,SHIPPER COMPANY NAME,SHIPPER ADDRESS,SHIPPER CONTACT PERSON,SHIPPER CONTACT NUMBER
,SEAPINE SHIPPING CORPORATION,SEAPINE SHIPPING CORPORATION,6th Flr. Magsaysay Center 1680 Roxas Blvd. Manila- SOUTH,Ethel,5281591 acct. - ms. ethel (follow-up) COLLECTION EVERY TUESDAY AND FRIDAY
,SEE MANUFACTURING CONTRACTOR,SEE MANUFACTURING CONTRACTOR,"140 Aurora Blvd.,San Juan Metro Manila/Kahilera ng Shell/727-2501/725-5920/744-4217/744-3153/",Mam Mercy/Roxanne,725-5920 MAM FERY OR SHEENAFFUP COLLECTION /fax 744-3153 697-9352-handset /SEE MANUFACTURING 727-25
,Shalom Health Services,Shalom Health Services,Unit 801 Vicente Madrigal Bldg. Ayala Ave. Makati City,Mariz Lopez,4036632
,SHEN-IL,SHEN-IL,"619-4C Chateau Elysee Condominium, Dona Soledad Ave. Ext., Paranaque City",Marian Gadista,839/2943 - 919-0817
,SHERATONE INDUSTRIAL INC.,SHERATONE INDUSTRIAL INC.,"1363 Merced St., Paco, Manila",Chester/ Lysander,275-1800/ 0917-8146258/848 9148
,SHIMADZU PHILS. CORP.,SHIMADZU PHILS. CORP.,"11/F Sun Life Centre, 5th Ave., cor. Rizal Drive, Bonifacio Global City, Taguig/ INSIDE",Mildred,y uy6z (632) 869-9563 (thur.follow-up ms. nancy)
,SHINRYO PHILIPPINES COMPANY INCORPORATED,SHINRYO PHILIPPINES COMPANY INCORPORATED,"4th Floor One Corporate Plaza,845 Arnaiz Ave.,Makati City/ LEGASPI",Marlon,812-0083 (FRI) COLLECTION EVERY 2ND WEEK AND LAST WEEK OF THE MONTH
,Shivlax Corp/ Formerly: RJ TECH,Shivlax Corp/ Formerly: RJ TECH,Warehauz II Peterbelt Compound Veterans Center Western Bicutan Taguig/ OUTSIDE,Emi Tolentino,551-1216/0917-5338610/pldt 398-5295
,Shoppers Guide,Shoppers Guide,"Unit 507 5Flr. Richmond Plaza, San Miguel Ave. Corner Lourdes St. Ortigas Center, Pasig City",Andrea Umali,470-3133/897-4035
,SIMMS COURIER SERVICES,SIMMS COURIER SERVICES,Ground Floor # 175 P.Parada St. Sta Lucia San Juan City- NEW OFFICE,Joyce Bajaro,637-2863/ 0956-6585520
,SIP TECHNOLOGY INC.,SIP TECHNOLOGY INC.,Unit 8 2nd Flr. Susana Arcade Alabang Zapote Road Almansa Las Pinas Near BIR Las Pinas,Yesha,772-3121
,SLS EXPRESS,SLS EXPRESS,4374-A Dayap Street Brgy Palanan Makati City/ WEST,Michelle Monsanto,5527581-Beth
,SMALL BUSINESS CORPORATION,SMALL BUSINESS CORPORATION,"17/F 139 Corporate Center Valero St. Salcedo Vill.,Makati City",Billy Lagaso,751-1888 LOC 2436 (NOTE: EVERY 8-5PM ANG COLLECTION)
,SMILE SYMMETRY,SMILE SYMMETRY,Unit N. 5/F West Gate Tower Condo Investment Drive MBP Ayala Alabang Muntinlupa City,Ms.Ella,772-2892
,SNAP - ON TOOLS,SNAP - ON TOOLS,"2053 Edison St., cor Paraday, 4/F Alscophil Bldg, San Isidro, MAkati City",Cherry Delgado,843-7935
,SONIC STEEL INDUSTRIES INCORPORATED,SONIC STEEL INDUSTRIES INCORPORATED,"10/F BPI Bldg., 560 Quintin Paredes St., Binondo, Manila/ NORTH",Ms.Mel / Ms.Faye,Follow up 241-92-51/58
,SOUTH PACIFIC CHEMICAL IND.INC,SOUTH PACIFIC CHEMICAL IND.INC,"G/F LPL Tower 112 Legaspi St.,Legaspi village Makati City",Nisa Ravillo,817-1586
,STAFF RIGHT SOLUTION ,STAFF RIGHT SOLUTION ,Unit 309 Peninsula court bldg.Makati ave cor Paseo de Roxas Makati city/ SALCEDO,Sigrid Santos,750 45 21/(Acctg: 750-4630)
,STEEL TECH,STEEL TECH,"11th and 12th Floors, BPI Bldg., Quintin Paredes St., Binondo, Manila/North",Ms. Fhey,567-3668 to 79 ----/Ms. Faye 2/F
,STEPAN PHILIPPINES QUATERNARIES INC,STEPAN PHILIPPINES QUATERNARIES INC,"17F TOWER2 INSULAR LIFE CORPORATE CENTER,INSULAR LIFE DRIVE FILINVEST CORPORATE CITY ALABANG MUNTINL",Let/Joan,740-4100 / 842-9751 coll 842-1452 (fri) ACCTG:(043) 727-2888
,Stephen Lim/ ALVEO,Stephen Lim/ ALVEO,"4F Alveo Tower Bonifacio High st., Global City Taguig",Stephen Lim,798-6840/798-6835
,Stephen Rau,Stephen Rau,"Unt 30i Bellagio Burgos Circle Bonifacio Global City, Taguig City",Stephen Rau,none
,STRATEGIC EDGE,STRATEGIC EDGE,"5th Floor Emmanuel House 115 Aguirre St.,Legaspi Vill.Makati City",May,892-0247/815-2247
,SUCCESS INTL. PLACEMENT INC.,SUCCESS INTL. PLACEMENT INC.,"No.8 M. Llanera Street,Bangkal,Makati City/ BANGKAL",Berly Taclindo,8841987
,Suntra International Trading Co. Ltd.,Suntra International Trading Co. Ltd.,Rm. 604 BPI Bldg. Plaza Cervantes Binondo Manila. (In front of Metrobank and Philtrust bank),Malou Avila,242-1045
,Super Serve Corporation,Super Serve Corporation,"18 Mother Ignacia Avenue,Barangay Paligsahan,Quezon City/ SOUTH",Elena,332-1330 /Fax: 332-1266
,Susan Marasigan,Susan Marasigan,"Unit 1101 Tower 3, Grass Residences, corner Misamis St., Brgy. Sto. Cristo, Quezon City",None,710-9084
,Taipei Economic Cultural Office,Taipei Economic Cultural Office,"41F RCBC Plaza,Makati City",Alice Chiu,8876688 loc. 140-Ms. Alice & loc141 ms abby
,TALENT 2 HRBPO CORP.,TALENT 2 HRBPO CORP.,"7th Flr., Techno Plaza 2 Bldg., Eastwood City Libis Quezon City/ EAST",Pinky Recarte,663-2344
,TANGERINE,TANGERINE,21 Marilag St. UP Village Diliman Quezon City,Josephine Berdan,9216434/09178592159
,Tansiongkun,Tansiongkun,New Address: Unit 16 Silvana Townhomes 304 P.Guevarra St.San Juan City,None,722-1985/415-6250
,Target Display,Target Display,"4th Floor Ricojen Building 112 Aguirre St. Legaspi Village, Makati City",Tracy,891-3607 loc. 105-coll.every tue 2-4 pm
,Target Display- WAREHOUSE,Target Display- WAREHOUSE,Taguig Bicutan / unit 12B Teresita Drive Tanyag Bicutan landmark malapit sa waltermark bicutan,Ms. Dana Hernandez,891-3607 loc. 223-coll.every tue 2-4 pm
,TASCO INC.,TASCO INC.,#70 20th Avenue. Proj. 4 Quezon City/ EAST,Pearl Joy Tablatin,911-8891 loc. 111
,TAW & ASSOCIATES,TAW & ASSOCIATES,"1002 4th Legend Tower 3rd Ave.,cor. 31st St.Bonifacio Global City Taguig",Mam Janet,403 1686
,TECHNISTOCK PHILS. INC.,TECHNISTOCK PHILS. INC.,"U302 Taipan Place Emerald Ave.,Ortigas Center Pasig City/ INSIDE-NORTH",Trixie,914-7104/9108800 910-8800
,Technomarine Enterprises Inc.,Technomarine Enterprises Inc.,Unit 2501-2505 25flr. One Corporate Julia Vargas Cor. Meralco Ortigas Pasig City,None,6870322 local 113 ms krizza loc. 123 treasury/6873172 (FRI) Acctg:637-3172 LOOK SA KRIZZA Loc. 112
,TECHNOMED INTERNATIONAL INCORPORATED,TECHNOMED INTERNATIONAL INCORPORATED,"4th Floor Medecor Building,Ortigas Avenue San Juan",Nette Pangalinan,721-1320/722-8646 MR EMERSON 721-1860/744 8646
,Teco,Teco,41 F RCBC Plaza Makati City,Ms. Alice,8876688 loc. 140-Ms. Alice & loc141 ms abby
,TELIGENT SYSTEM INC.,TELIGENT SYSTEM INC.,3/F Maripola Bldg. 109 Perea St. Legaspi Vill. Makati City,Florence Palma,813-9051/ 411-4548- MS. MARICON
,TERESA SIERRA- NEW,TERESA SIERRA- NEW,B8 L13 #13 Lapaz St BF Rio Garden Home Las Pinas City/ Near Southland Exit,Teresa Sierra,0917-8389680/ 577-2617
,TERUMO MARKETING Phils.,TERUMO MARKETING Phils.,"Unit 3203 A-B, West Tower, Philp Stock Exchange Ctr, Exchange Rd, Ortigas Avenue, Pasig/ INSIDE-SOUT",Ms. Judie Laporga,632-1675/ 0920-9748813- ms. Judie
,THE ASSOCIATED PRESS,THE ASSOCIATED PRESS,5th Floor Diamond Hotel Roxas Blvd. Ermita Manila,Sir Rey Maceda,525-9217/521-2430
,THE EXPRESS GUY-Caberdax Services Inc,THE EXPRESS GUY-Caberdax Services Inc,"BASEMENT ONGPAUCO SISTERS BUILDING, P GUEVARRA CORNER WILSON STREETS, SAN JUAN CITY",None,239 2824
,The Farm at San Benito,The Farm at San Benito,Shop 12 G/F Peninsula Manila cor. Makati ave and ayala ave. Makati City,Jilly Mallarie,884-8073
,THE MEDICAL CITY,THE MEDICAL CITY,14th flr. 14B Nursing Tower Product Marketing Dept. Ortigas Avenue Pasig City/ SAN JUAN AREA,,635-6789 LOC 6203 (Loc.6516) FFUP VIA BDO - 470-9661
,THE OILY LIFE,THE OILY LIFE,"#23 Paraguay St., Better Living, Paranaque City",Isabel Reynon,0917-3015545
,Thomas Cowan & Co. Inc.,Thomas Cowan & Co. Inc.,2nd flr. Rose Industries Bldg. 11 Pioneer St. Pasig city,Gera Abrian,6313563 NORIE/634-7262 FFUP
,TOBYS SPORTS,TOBYS SPORTS,Lot 1 & 2-A Good Harvest Complex C. Raymundo brgy.Caniogan Pasig/ OUTSIDE,Liezl,TRUNKLINE-651-777/651-7741 follow up loc 810 accntng / 651-7777 loc. 840 MONDAY AND WEDNESDAY
,Topnotch Marketing Solutions Inc.,Topnotch Marketing Solutions Inc.,New Add: 5M-A11. 5th Mezzanine victoria station 1 GMA Kamuning EDSA Q.C- SOUTH,Chris Galang,NEW: 625-9591/2391274
,Touch Media,Touch Media,UNIT 1602 A. WEST TOWER PSE ORTIGAS CENTER PASIG CITY,Henry Dayaon,217-8452/6871681/667-3875
,TRANS-TECH PHILS. SYSTEMS CORP.,TRANS-TECH PHILS. SYSTEMS CORP.,New Add: Unit 2204 Tower 1 Entrata Urban Complex 2609 Civic Drive Filinvest City Alabang Muntinlupa,Janela,8079449/7722705/8071627
,TRIGLOBE,TRIGLOBE,"3RD FLOOR G101 BLDG # 2 Mindanao Ave. Ext. Tandang Sora, Quezon City",Ms.Mean,983-4119
,TRIGOLD SECURITY/TRIBOLT,TRIGOLD SECURITY/TRIBOLT,"5/F A&N Bldg. 9694 Kamagong St., cor. St. Paul, San Antonio Makati/ WEST",Joan,478-9755 / 478-9733/0998-5370437
,TRION TRADE INC.,TRION TRADE INC.,"whse 19 anaconda compound. 16 evangelista st. santolan, pasig city.",Sir Garry Sales,576-3631
,TRITAN VENTURES,TRITAN VENTURES,3/F Tritan Plaza Paseo de Magallanes Makati City/ MAGALLANES,Alma Esparago,854-2139
,"UNIGLOBE TRAVELWARE CO.,INC.","UNIGLOBE TRAVELWARE CO.,INC.","Prime Star Center 2282 Leon Guinto Street Malate, Manila",None,303-1234
,UNION INK AND GRAPHICS PHILS.INC.,UNION INK AND GRAPHICS PHILS.INC.,Warehouse E. Dona Irenea St.Ireneville Subd. Dr.A. Santos Ave.Paranaque City,Rose Marcelo,0925-882-9107
,UNISAFE INDUSTRIAL CO.INC.,UNISAFE INDUSTRIAL CO.INC.,346 Maysilo circle boni ave.Mandaluyong,None,531-9013/706-6320
,UNISON COMPUTER,UNISON COMPUTER,"120 E. Rodriguez Jr. Ave.,cor. Ortigas Avenue,Ugong Pasig City/ OUTSIDE",Ana Perez,new truckline 631-5581 620-2977 loc. 304 Bing LOC 311 ACCTNG.
,UNITED ALL WORLD,UNITED ALL WORLD,Rm. 203 Cattleya Condo. 235 Salcedo St. Legaspi Village Makati City,Cristy,813-7388/813-4647
,UNITED EVANGELICAL CHURCH OF GREENHILLS,UNITED EVANGELICAL CHURCH OF GREENHILLS,"No. 18 J. De Mesa St.,Little Baguio San Juan",None,721-8499/956-1532
,UNITED HARVEST CORPORATION,UNITED HARVEST CORPORATION,9th Floor Liberty Center H. V. dela Costa Street Salcedo Village Makati City,Jeffrey Ignacio,886-3362
,United Steel Tech Corp.,United Steel Tech Corp.,11 and 12/F BPI Bldg. 560 Quintin Paredes St. Binondo Manila,Ms.Fhaye,567-3668/09178338731
,VEL PRINT CORPORATION,VEL PRINT CORPORATION,688-E ROAD 1 OLD BALARA QUEZON CITY,Mr. Allan,9328698 press 25 for acctg./MICHELLE
,VENTURE FIVE APPARELL MFG. INC.,VENTURE FIVE APPARELL MFG. INC.,"1470 Santo Tomas Purok 2, Sto Tomas, Binan, Laguna(near NAPOCOR and La Consolacion College)",Lolit Malinao,868-1416
,VIATXT CORPORATION,VIATXT CORPORATION,"Unit 302 Taipan Place Emerald Avenue,Ortigas Center Pasig City",Ms. Tina,910-8800
,Vinox Corporation,Vinox Corporation,Block 5 Phase 2 Cavite EPZA Rosario Cavite,Ms. Hilda Siongco,046-4372995
,VINTAGE DENTAL LABORATORY,VINTAGE DENTAL LABORATORY,No. 9 Monserrat Street Morning Breeza Kalookan City,Eric Chavez,0919-2843870/330-76-33
,Visayan Agency,Visayan Agency,Room 218 Phoenix building cabildo st. corner recoletus st. intramuras manila/SOUTH,Joan,734-4948
,Viva Communication Pay TV,Viva Communication Pay TV,7th Floor East Tower PSE Center Pasig City,None,viva 687-5853- LOC 610 COLLECTION/ 6385463-64
,VIVA ENTERTAINMENT/VIDEO CITY,VIVA ENTERTAINMENT/VIDEO CITY,7th Floor East Tower PSE Center Pasig City,Al Fajarillo,687-6181/truck line 687-58-53-56marylyn loc 615 acctng/loc614
,VL INFINITY,VL INFINITY,6750 BUILDING 17TH FLOOR AYALA AVE. MAKATI CITY,Claire Medina,9157275496
,VONDESHER BUILDERS INCORPORATED,VONDESHER BUILDERS INCORPORATED,"No. 60 Esteban Street., Brgy Highway Hills Mandaluyong City.",John,9988627963
,VTECH PACKAGING MATERIALS CO.,VTECH PACKAGING MATERIALS CO.,"Paliparan II, DAsmarinas City. Cavite",None,none
,VTT CORPORATION,VTT CORPORATION,52B DAPITAN ST.BRGY. STA. TERESITA QUEZON CITY WAREHOUSE,John Mark Tan,.7414-133/ 0907-860-4362
,WAGEMARK CORPORATION,WAGEMARK CORPORATION,"Ezential Corp.Unit 201 Jocfer Bldg..Commonwealth Avenue,Quezon City/Ezential Corp. Unit 207 Level 2",Ms.Bunny,346-1538/3559281 (Collection: 3559281)
,WEB PROVIDER DEV.PROS.INC,WEB PROVIDER DEV.PROS.INC,1106 PAragon Plaza Condo Reliance Street Mandaluyong City,Donna,706-4283
,Wellness Depot,Wellness Depot,"Unit 26 Borough Square,San Antonio Valley 1,Sucat Paranaque City",Anna Almoro,093551792121/796-5892
,WHEELS CITY INC.,WHEELS CITY INC.,"1760 A Ave Ctr. Bldg.,Dian St. Brgy. Palanan Makati City",Lira Fuentes,659-1139
,Whiteport Inc.,Whiteport Inc.,Shaw Blvd.Mandaluyong City,Marvic Jallores,0922-2885430
,WIN Radio/Progressive Broadcasting,WIN Radio/Progressive Broadcasting,New Add:40th Flr. Summit 1 Bldg.530 Shaw Blvd Mandaluyong,Ms. Vee,2399436/6612540
,Wipro BPO Phils. Ltd. Inc.,Wipro BPO Phils. Ltd. Inc.,Archbishop Avenue and Mindanao St. Cebu City,Aileen Aguilar,0
,witty gekko inc./ formerly: Arianne Business Cente,witty gekko inc./ formerly: Arianne Business Cente,"Unit G, 32 South Star Plza Bldg., Brgy. Bangkal, Makati City",Jessica,832-6285/09108753847
,Wonderpark Amusement Corporation,Wonderpark Amusement Corporation,"Unit 807 8th Floor ALPAP II Building, Trade St, cor Investment Drive, Madrigal Business Park Ayala A",Chariz Austria,850-8934 / 809-3925
,Wontex Trading Company,Wontex Trading Company,"Gate 2 Karangalan Vil., Felix Ave., Cainta,Rizal ( opposite street Karangalan Pasig) beside Union Ba",Ms Chona/Ms Flor,681-8708/514-1753
,WORDTEXT SYSTEMS INC,WORDTEXT SYSTEMS INC,"WSI Corporate Center 1005 Metro Politan Ave., Cor.Kakarong St., Brgy. Sta. Cruz Makati City .",Irish Devera,"858-5555 loc.571 Ms.Ana Jocson ,,,loc.557 Acctg: 535"
,WORLD FOOD PROGRAMME,WORLD FOOD PROGRAMME,"17/F RCBC Savings Bank Corporate Center, 26th & 25th Streets Bonifacio Global City Taguig",None,823-1485 / 833-6229
,Worldwide Apparel Mfg. Inc.,Worldwide Apparel Mfg. Inc.,San Miguel Compound Amante St. Brgy. Landayan San Pedro Laguna,Roshel,808-2088/09178808048
,WPG ELECTRONICS PHILS. INC,WPG ELECTRONICS PHILS. INC,"U-501 Richville Corp. Center, #1314 Commerce Ave., Ext., Alabang, Muntinlupa City",Ms. Nelissa,842-1572
,XYNGULAR/ Formerly: Symmetry,XYNGULAR/ Formerly: Symmetry,"G/F Seddco Bldg. Rada St.Legaspi Village, Makati City",Ron,750-0373 Loc. 406(Acctg:506)Fax No. 892-5588
,YMC INTERNATIONAL MANPOWER,YMC INTERNATIONAL MANPOWER,"Unit 13 Dona Salud Bldg. 1711 A. Linao St., Paco, Manila",None,522-8596
,YUNDO INC,YUNDO INC,"Lower Penthouse Panorama Tower, 34th Street Corner Lane A, Bonifacio Global City Taguig",Vienna Orlino,847-2732
,YUNGSHIN PHILS.,YUNGSHIN PHILS.,"4F Catcho Gonzales Bldg.,101 Aguirre St.,Legaspi Village Makati City",Cristel,892-8670
,Zafire Distribution Inc,Zafire Distribution Inc,49 Examiner Street West Triangle Quezon City ? (02) 925 0500,Ms.Baby Parreno,925 0500
,ZAGRO CORPORATION,ZAGRO CORPORATION,"7/F Raja Sulayman Bldg. 108 Benavidez St. Legaspi Village, Makati City",Ivan Limuco,810-1340 loc 116
,Zakk Bills Payment,Zakk Bills Payment,"NO. 4 M. Jimenez St., Kalawaan, Pasig City",Oliver Aviles,09420459599 / 09166586670
,"ZAMIL STEEL VIETNAM CO.,LTD.","ZAMIL STEEL VIETNAM CO.,LTD.",121 Valero St. unit 706 7th floor Antel 2000 Corporate Center Salcedo Village Makati City,Tess,867-2504 payment 1st a month only.
,Zija,Zija,Unit 418 AIC Burgundy Tower ADB cor. Saphire St. Ortigas Center Pasig City,Ramir Valenzuela,0917-9192000/ 696-7205
,ZUELLIG PHARMA,ZUELLIG PHARMA,"Km.14 West Service Rd,South Superhighway cor. Edison Ave., Sun Valley Paranaque City",Mrs. Tinsay,908-2222 loc 533
